NAME,OVR,POT
Espen Bugge Pettersen,65,65
Lars Vilsvik,72,72
Jakob Glesnes,68,76
Marius Høibråten,66,75
Jonathan Parr,68,68
Bassel Jradi,69,76
Henning Hauger,66,66
Kristoffer Tokstad,67,68
Tokmac Chol Nguen,65,74
Pontus Engblom,64,69
Marcus Pedersen,68,69
Abdul-Basit Agouda,55,70
Francisco Júnior,63,67
Stian Ringstad,66,69
Mounir Hamoud,63,63
Radosław Janukiewicz,61,61
Eirik Ulland Andersen,69,75
Kim André Madsen,66,66
Andreas Hoven,57,70
Hasan Huseyin Duman,53,65
Christian Rubio Sivodedov,59,75
Mathias Berg Gjerstrøm,59,71
Pål Vestly Heigre,62,69
