NAME,OVR,POT
Vedran Janjetović,61,64
Sebastian Ryall,61,63
Tiago,58,58
Lucas Neill,70,70
Rhyan Grant,61,64
Peter Triantis,58,62
Terry McFlynn,58,58
Brett Emerton,63,63
Ali Abbas,58,61
Alessandro Del Piero,76,76
Joel Griffiths,65,65
Ivan Necevski,60,60
Joel Chianese,60,64
Yairo Yau,60,65
Terry Antonis,61,70
Adam Griffiths,60,60
Blake Powell,57,61
Trent McClenahan,58,60
Hagi Gligor,54,63
Mitchell Mallia,58,62
Paul Reid,59,59
Nathan Sherlock,55,62
Krunoslav Lovrek,59,59
Pascal Bosschaart,63,63
Daniel Petkovski,53,60
