NAME,OVR,POT
Oliver Baumann,82,82
Pavel Kadeřábek,76,76
Ozan Kabak,75,81
Kevin Vogt,76,76
Stanley Nsoki,73,79
AngeliñoL,82,84
Thomas DelaneyL,80,80
Dennis Geiger,75,80
Christoph Baumgartner,78,84
Kasper DolbergL,77,81
Andrej Kramarić,81,81
Sebastian Rudy,74,74
John Brooks,77,77
Kevin Akpoguma,75,77
Robert Skov,75,76
Philipp Pentke,70,70
Ihlas Bebou,77,77
Munas Dabbur,75,75
Jacob Bruun Larsen,73,78
Ermin Bičakčić,74,74
Justin CheL,66,82
Tom Bischof,62,83
Angelo Stiller,73,79
Eduardo QuaresmaL,70,82
Muhammed Damar,63,78
Fisnik Asllani,61,74
Luca Philipp,63,73
Umut Tohumcu,60,80
Nahuel Noll,57,72
Joshua Quarshie,60,77
Finn Ole Becker,69,80
Grischa Prömel,76,76
Noah König,59,74
