NAME,OVR,POT
Andrea Sala,63,71
Damiano Zanon,67,67
Biagio Meccariello,67,69
Martin Valjent,64,75
Leonardo Sernicola,54,68
Massimiliano Busellato,62,69
Manuel Coppola,65,65
Antonio Palumbo,61,75
Jens Janse,62,62
Felipe Nicolás Avenatti,68,76
Federico Furlan,64,68
Fabio Ceravolo,69,69
Niccoló BelloniL,61,68
Luigi Vitale,67,67
Fabiano Santacroce,67,67
Luca Mazzoni,69,69
Gennaro Troianiello,68,68
Paolo Grossi,63,63
Franco Signorelli,68,72
Enrico Zampa,61,67
Alejandro González,71,71
Alberto Masi,68,74
César Falletti,67,74
Davide Monteleone,58,68
Cedric Diomandè Gondo,60,76
Marko Dugandžić,58,67
Alessio Lo Porto,53,65
Eddi Gava,56,66
