NAME,OVR,POT
Jorge Bernal,46,58
Miguel Acosta,54,51
Pablo Quattrocchi,58,54
Joel Sánchez,57,60
Lucas Ayala,49,47
Braulio Luna,68,71
Óscar Emilio Rojas,55,51
Walter Jiménez,63,62
Leandro Atilio Romagnoli,69,69
Gustavo Javier Biscayzacú,65,64
Alejandro Leyva,51,56
Miguel de Jesús Fuentes,53,49
Miguel Hernández,50,49
Joaquín Reyes,58,58
Manuel López Mondragón,52,50
Emilio Mora,70,67
Ramiro Briseño,54,51
Javier Flores,58,56
Francisco Bravo,55,51
Omar Rivera,39,44
Hugo Gómez,39,46
José Híber Ruíz,34,43
