NAME,OVR,POT
Gibrán Lajud,71,76
Vladimir Loroña,67,79
Miguel Barbieri,71,76
Leandro González Pirez,75,77
Aldo Cruz,69,79
Ignacio Rivero,70,70
Christian RiveraL,70,78
Alexis Castro,71,76
Mauro Laínez,66,72
Camilo,74,74
Bryan AnguloL,71,77
Edwin Cardona,76,77
Kevin Balanta,71,81
Ángel Sepúlveda,70,70
Jordan Silva,68,74
Carlos Higuera,58,70
Erick Torres,69,69
Miler Bolaños,73,73
Omar Mendoza,65,65
César FallettiL,72,73
Emilio Sánchez,59,64
Luis Martínez,60,72
Daniel López,56,70
Luis Michel,64,64
Luis Gamíz,54,69
Victor Torres,59,62
Bryan Colula,55,62
Víctor Guzmán,59,77
