NAME,OVR,POT
Luis Manuel García,71,73
Raúl López,73,73
Haret Ortega,70,79
Valber Huerta,70,72
Jorge Alejandro Rodríguez,64,74
Leonardo Fernández,75,83
Jordan Sierra,71,74
Claudio Baeza,72,73
Kevin Castañeda,69,78
Ian GonzálezL,68,68
Alexis Canelo,75,75
Camilo Sanvezzo,75,75
Pablo González,71,71
Daniel ArezoL,71,71
Oscar Vanegas,66,67
Gustavo Gutiérrez,64,70
Omar Rodríguez,60,63
Diego Rigonato,69,69
Brandon Sartiaguin,62,69
Iván Acero,61,70
Isaías Violante,61,72
Jorge Torres Nilo,71,71
Carlos Guzmán,69,69
Oscar Chávez,62,69
Diego Rosales,62,69
