NAME,OVR,POT
Christian Abbiati,85,88
Gianluca Comotto,73,75
Ivan Franceschini,76,79
Giuseppe Pancaro,76,80
Iacopo Balestri,70,74
Simone Barone,81,82
Diego De Ascentis,76,79
Andrea Ardito,70,77
Alessandro Rosina,79,84
Roberto Stellone,77,78
Roberto Muzzi,82,82
Massimo Taibi,73,76
Vedin Music,73,76
Oscar Brevi,75,79
Nikola Lazetic,76,78
Elvis Abbruscato,78,79
Marco Di Loreto,77,84
Giovanni Orfei,54,62
Fabio Gallo,64,67
Claudio Ferrarese,68,69
Matteo Melara,76,78
Gabriele Cioffi,61,62
Angelo Pagotto,61,71
