NAME,OVR,POT
Alex Bono,68,74
Gregory van der Wiel,75,75
Eriq Zavaleta,68,71
Chris Mavinga,73,75
Michael Bradley,77,77
Ashtone Morgan,64,64
Víctor Vázquez,77,77
Jonathan Osorio,70,73
Justin Morrow,71,71
Sebastian Giovinco,82,82
Jozy Altidore,77,77
Jordan Hamilton,65,72
Tosaint Ricketts,64,64
Marky Delgado,68,74
Ryan Telfer,58,64
Clint Irwin,67,67
Jay Chapman,65,70
Auro,68,78
Liam Fraser,59,73
Jon Bakero,62,69
Jason Hernandez,63,63
Lucas JansonL,73,80
Aketxe,72,78
Drew Moor,72,72
Ayo Akinola,60,79
Nick Hagglund,68,72
Caleb Patterson-Sewell,64,64
Aidan Daniels,50,62
Julian Dunn,49,72
