NAME,OVR,POT
Hugo Lloris,88,88
Kieran Trippier,80,81
Davinson Sánchez,82,88
Jan Vertonghen,86,86
Ben Davies,81,84
Eric Dier,81,85
Moussa Dembélé,84,84
Christian Eriksen,88,91
Heung Min Son,84,87
Dele Alli,84,90
Harry Kane,88,91
Victor Wanyama,81,84
Erik Lamela,80,81
Toby Alderweireld,85,86
Serge Aurier,81,84
Michel Vorm,78,78
Lucas,82,84
Danny Rose,81,81
Llorente,77,77
Moussa Sissoko,77,77
Harry Winks,75,84
Kyle Walker-Peters,66,80
Juan Foyth,68,85
Paulo Gazzaniga,70,74
Marcus Edwards,66,87
Tashan Oakley-Boothe,62,82
Anthony Georgiou,60,75
Samuel Shashoua,59,77
Kazaiah Sterling,57,75
Christian Maghoma,59,72
Oliver Skipp,58,79
Alfie Whiteman,56,74
Keanan Bennetts,57,75
