NAME,OVR,POT
Christophe Revault,74,86
Albin Ebondo,61,80
Dominique Arribagé,71,79
Stéphane Lièvre,63,79
Lucien Aubey,64,74
Achille Emana,61,78
Pantxi Sirieix,73,78
Julien Cardy,58,78
Stéphane Dalmat,79,89
Daniel Moreira,81,89
David Suarez,69,80
Issoumaïla Dao,61,79
Thibault Giresse,67,86
Ludovic Clément,66,76
Olivier Douchez,64,74
Predrag Ocokoljic,70,76
Nicolas Dieuze,65,76
Nabil Taïder,64,74
Anthony Braizat,64,76
Eduardo Da Silva,65,75
Henri Bedimo Nsame,61,79
Benoît Benvegnu,55,77
Julien Sola,55,79
François Clerc,55,72
Daniel Congré,50,69
