NAME,OVR,POT
René,71,71
Marco Motta,73,73
Joaquín,68,76
Trujillo,69,69
Pervis EstupiñánL,65,75
Sulayman Marreh,65,72
Rubén AlcarazL,69,70
Fidel,72,72
Gaspar,64,72
Pozo,72,79
Juan MuñozL,70,75
VerzaL,72,72
Morcillo,70,70
Nano,69,69
Fran Rodríguez,68,72
Fernando,66,70
Pablo Nicolás Caballero,70,70
Alhassane BangouraL,70,71
Lucien Owona,70,73
Edoardo SoleriL,63,78
Hicham Khaloua,64,71
Mandi,66,66
Alberto Costa,73,73
Àlex Corredera,65,75
Javi Álamo,69,69
Callejón,60,72
Navas,60,69
Lin Liangming,59,75
Oscar Lozano,61,71
Casitas,60,69
