NAME,OVR,POT
Thomas Renault,67,67
Benjaloud Youssouf,60,68
Mathieu Chemin,65,65
Joël Sami,71,71
Edson Seidou,59,64
Mathieu Ligoule,64,64
Pierre Bouby,65,65
Farid Beziouen,65,65
Mickaël Barreto,62,63
Karim Ziani,70,70
Khaled Ayari,66,67
Arthur Yannick Gomis,60,65
Essaïd Belkalem,74,74
Manassé Enza-Yamissi,68,71
Gauthier Pinaud,57,57
Oumar Sissoko,66,67
Livio Nabab,67,67
Ferris N'Goma,56,63
Romain Armand,60,60
Kévin Dupuis,64,64
Adrien Pagerie,64,68
François Lajugie,52,66
Sébastien Mpeck-Makendi,58,64
