NAME,OVR,POT
Miguel Jiménez,65,65
Mathías Corujo,71,71
Waldo Ponce,66,66
Benjamín Vidal,68,75
Joao Ortiz,64,68
Guzmán Pereira,69,75
Gonzalo Espinoza,72,75
Fabián Carmona,64,74
Maximiliano Rodriguez,68,75
Leandro Benegas,71,75
César Cortés,63,63
Sebastián Martínez,70,78
Bryan Cortés,62,70
Luis Felipe Pinilla,54,64
Rodrigo Echeverría,60,74
Nelson Espinoza,60,67
Sebastián Gómez,56,66
Cristián Cuevas,63,73
Gustavo Canales,74,74
Johnny Herrera,74,74
Osvaldo González,72,72
Sebastián Ubilla,71,75
José Rojas,71,71
Gustavo Lorenzetti,70,70
Cristián Suárez,70,70
Ramón Fernández,68,68
Enzo Gutiérrez,67,67
Paulo Magalhães,65,69
