NAME,OVR,POT
Diego Sánchez,69,71
Dagoberto Currimilla,68,71
Jorge Ampuero,64,65
Marcos González,72,72
Nicolás Berardo,66,69
Milovan Mirošević,67,67
René Martín Lima,68,68
Sergio López,65,68
Fabián Saavedra,65,71
Juan Ferreyra,69,69
Gonzalo Abán,60,60
Carlos Salom,67,67
Diego Scotti,69,69
Gonzalo Villagra,66,66
Pablo Galdames,57,72
Cristián Guerra,57,61
Fernando Cornejo,50,55
Cristopher Ross,49,56
Gabriel Méndez,70,72
Mario Larenas,61,72
Tomás Astaburuaga,61,66
Dante Martínez,57,63
Ángel Muñoz,56,66
José Luis Sierra,54,77
Jonathan Salvador,53,59
Pablo Aranguiz,53,66
Angel Marín,51,64
Cristóbal Jiménez,50,55
