NAME,OVR,POT
Alexis Martín Arias,73,75
Simón Ramírez,68,74
Christian Vilches,69,69
Santiago García,71,71
Yerco Oyanedel,63,71
Gonzalo Castellani,70,70
Esteban Valencia,64,75
Erick Wiemberg,68,69
Jeisson Vargas,67,75
Sebastián Sáez,69,69
Andrés Vilches,68,68
Matías Laba,70,70
Ariel Martínez,64,65
Matías Navarrete,68,69
Víctor González,66,67
Miguel Vargas,60,66
Octavio Rivero,71,71
Nicolás Orellana,67,68
Rodrigo Cancino,55,65
Gustavo Iturra,60,69
Matías Fernández,65,66
Pedro Sánchez,57,66
Abel Moreno,54,72
Alejandro Rojo,55,67
