NAME,OVR,POT
Fredrik Andersson,63,63
Oliver Silverholt,62,62
Joakim Lindner,64,64
Oliver Stanisic,65,65
Jon Birkfeldt,63,66
Óskar Sverrisson,60,60
Luke Le Roux,65,74
Robin Tranberg,62,62
Ismet Lushaku,60,71
João Paulo,60,69
Assad Al Hamlawi,58,68
Eliton Júnior,61,66
Filipe Sissé,58,68
Hampus Zackrisson,62,63
Vinícius Nogueira,58,68
Stojan Lukić,62,62
Victor Karlsson,60,70
Oliver Alfonsi,59,72
Dion Krasniqi,57,74
Ömür Pektas,56,67
Adnan Marić,60,65
David Olsson,59,65
Joel Sundström,57,68
Júnior Pussick,56,70
Maxime Sainte,56,66
Vilmer Rönnberg,56,69
Gideon Mensah,62,69
Anton Liljenbäck,64,65
