NAME,OVR,POT
Emil AuderoL,68,82
Siniša Anđelković,74,74
Marco Modolo,65,65
Maurizio Domizzi,71,71
Simone Bentivoglio,69,69
Nicolas FreyL,70,70
Marco FirenzeL,64,70
Marcello Falzerano,67,67
Agostino Garofalo,69,69
Gianmarco ZigoniL,69,70
Gianluca Litteri,70,70
Alex Geijo,70,70
Leo Stulac,65,70
Cristiano Del Grosso,67,67
Matteo Bruscagin,64,64
Danilo Russo,63,63
Giuseppe Marco Zampano,64,70
Marco Pinato,64,72
Davide Marsura,65,69
Gianni Fabiano,63,63
Sergiu Suciu,66,66
Francesco Cernuto,61,64
Filippo Serena,55,74
Roberto Strechie,54,74
Pier Graziano Gori,64,64
Guglielmo Vicario,57,70
