NAME,OVR,POT
Manuel Riemann,71,71
Cristian Gamboa,70,70
Saulo Decarli,69,71
Maxim Leitsch,67,76
Danilo,72,72
Jordi Osei-TutuL,62,72
Anthony Losilla,71,71
Robert Tesche,69,69
Vitaly Janelt,68,79
Danny Blum,73,73
Silvère Ganvoula,71,78
Miloš Pantović,66,74
Vassilios LampropoulosL,70,70
Armel Bella-Kotchap,63,85
Maxwell Gyamfi,54,62
Patrick Drewes,66,70
Manuel WintzheimerL,65,78
Sebastian Maier,67,69
Robert Žulj,71,71
Simon Zoller,69,69
Tom Weilandt,68,68
Ulrich Bapoh,63,74
Simon Lorenz,66,74
Moritz Römling,56,71
Stelios Kokovas,57,73
Paul Grave,53,73
Stefano Celozzi,67,67
Jan Wellers,53,61
Thomas Eisfeld,66,67
