NAME,OVR,POT
Diego Benaglio,81,86
Sascha Riether,76,79
Simon Kjær,78,87
Andrea Barzagli,79,84
Marcel Schäfer,76,81
Cícero,75,83
Josué,80,82
Karim Ziani,76,84
Mario Mandžukić,78,83
Diego,82,90
Edin Džeko,85,89
Marwin Hitz,69,77
Arne Friedrich,79,82
Alexander Madlung,76,77
Fabian Johnson,70,78
Ashkan Dejagah,75,81
Thomas Kahlenberg,76,83
Grafite,80,85
Makoto Hasebe,75,79
Peter Pekarik,73,76
Nassim Ben Khalifa,68,80
Sergej Karimow,66,73
Tolga Cigerci,61,74
Kevin Wolze,60,79
Caiuby,68,76
Sebastian Schindzielorz,69,75
Sebastian Polter,61,72
André Lenz,72,75
Julian Klamt,54,68
Michael Schulze,57,67
Fabian Klos,56,68
Vlad Munteanu,68,76
