NAME,OVR,POT
Daniel Bernhardt,68,68
Mart Ristl,63,70
Clemens Schoppenhauer,66,68
Torben Rehfeldt,64,68
Patrick Funk,66,66
Royal-Dominique Fennell,66,66
Thomas Geyer,67,69
Luca Schnellbacher,63,68
Matthias Morys,67,67
Nicolás Sessa,65,71
Petar Slišković,63,63
Lukas Lämmel,63,72
Sascha Traut,66,66
Marian Sarr,64,70
Marvin Büyüksakarya,63,68
Matthias Layer,56,71
Stephan Andrist,67,67
Johannes BühlerL,61,70
Antonios Papadopoulos,52,69
Yannis Letard,58,71
Patrick Schorr,64,69
Raif Husić,60,69
Mattia Trianni,63,64
Marc Onuoha,58,68
Mohamed Amelhaf,59,68
Noah Feil,54,71
Nils Anhölcher,56,69
