NAME,OVR,POT
Emilijus Zubas,67,71
Kristoffer Pallesen,53,58
Babajide Ogunbiyi,58,63
Jacob Egeris,53,58
Christopher Poulsen,63,63
Aleksandar Stankov,62,67
Jeff Mensah,54,62
Marcel Rømer,54,64
Kevin Mensah,61,67
Wilton Figueiredo,62,62
Thomas Dalgaard,67,67
Michal Peškovič,66,66
Ken Fagerberg,58,60
Andreas Hagen,55,60
Lucas Jensen,60,72
Simon Nagel,61,61
Lasse Andersen,50,56
Simon Vetter,50,62
Mikkel Rask,63,63
Lukas Lerager,60,66
Danilo Arrieta,59,64
David Boysen,59,67
Patrick Nielsen,57,64
Jonas Thorsen,57,65
Nicholas Gotfredsen,56,62
Fredrik Stoor,54,54
Sebastian John,52,59
