NAME,OVR,POT
Diego,61,74
Ángel Ortega,58,64
Dorian Dervite,67,78
Carlos Tomás,63,73
Jaume Costa,61,74
Marcos Gullón,69,71
Nacho Insa,66,73
Facundo Coria,62,75
Iago Falqué,66,85
Hernán Pérez,69,75
Airam,63,68
Vicente Flor,61,64
José Manuel Velázquez,61,69
Tiago Dutra,61,81
Héctor,65,72
Nicki Bille Nielsen,66,78
Gerard Bordas,69,74
Gonzalo Castellani,61,75
Truyols,63,75
Mano,61,66
Marquitos,68,78
Joselu,61,71
Jorge,56,62
Fran García,54,65
Modrego,61,73
Fofo,58,67
Mauricio,55,71
Nico,59,71
Torres,55,71
Diego Jiménez,57,65
