NAME,OVR,POT
Sergio Asenjo,82,83
Rubén Peña,79,79
Raúl Albiol,83,83
Ramiro Funes Mori,76,77
Alberto Moreno,76,77
Iborra,78,78
Gerard Moreno,82,82
Manu Trigueros,79,79
Santi Cazorla,83,83
Moi Gómez,75,78
Paco Alcácer,82,84
André-Franck Zambo AnguissaL,76,82
Mario Gaspar,79,79
Pau Torres,78,86
Quintillà,73,81
Andrés Fernández,78,78
Carlos Bacca,78,78
Ontiveros,75,82
Samuel Chukwueze,77,86
Manu Morlanes,73,83
Javi FernándezL,68,75
Ramiro Guerra,66,75
Simón Moreno,65,71
Carlos Blanco,65,72
Rafa MújicaL,65,77
Sofian Chakla,64,69
Migue Leal,64,73
Pepe Castaño,63,73
Sergio Lozano,63,77
Fer Niño,64,80
Andrei Rațiu,62,74
Iván Martín,62,74
Mariano Barbosa,75,75
