NAME,OVR,POT
Piet Velthuizen,72,85
Paul Verhaegh,66,72
Civard Sprockel,66,73
Frank van der Struijk,65,76
Jeroen Drost,64,74
Sébastien Sansoni,67,69
Claudemir,65,82
Julian Jenner,65,80
Rogier Molhoek,67,74
Santi Kolk,69,75
Mads Junker,66,72
Alfred Schreuder,64,77
Nicky Hofs,70,76
Ronald Graafland,60,61
Niklas Tarvajärvi,63,73
Anduele Pryor,64,69
Abubakari Yakubu,65,77
Onur Kaya,62,66
Cees Keizer,61,68
Haim Megrelishvili,62,67
Sebastiaan van der Sman,53,66
Kevin van Diermen,56,59
Wiljan Pluim,50,75
Nicky Kuiper,53,63
Ricky van Wolfswinkel,57,78
Alexander Büttner,58,64
Eloy Room,49,67
