NAME,OVR,POT
Lucas Hoyos,74,74
Tomás Guidara,72,75
Lautaro Giannetti,75,77
Luis Abram,73,78
Francisco Ortega,72,79
Pablo Galdames,73,77
Federico MancuelloL,73,73
Ricardo Centurión,75,75
Luca Orellano,73,83
Juan Martín Lucero,74,74
Lucas Janson,75,75
Santiago CáseresL,73,79
Gerónimo Poblete,72,72
Agustín Mulet,65,75
Hernán De La Fuente,71,75
Alexander Domínguez,72,72
Cristian Tarragona,72,72
Ricardo Álvarez,73,73
Thiago Almada,74,86
Agustín Bouzat,71,71
Matías de los Santos,71,72
Miguel Brizuela,71,76
Matías Borgogno,64,72
Damián Fernández,65,76
Florián Monzón,64,74
Federico Versaci,62,73
Joaquín García,63,72
Tomás Cavanagh,62,73
