NAME,OVR,POT
Ben Amos,67,67
Tendayi Darikwa,67,67
Jason Kerr,68,74
Jack Whatmough,68,73
Kelland WattsL,66,76
James McClean,69,69
Max Power,68,68
Tom Naylor,69,69
Will Keane,68,68
Callum Lang,68,75
Josh Magennis,66,66
Graeme Shinnie,70,70
Jamie McGrath,67,72
Joe Bennett,67,67
Tom Pearce,64,70
Jamie Jones,64,64
Stephen Humphrys,65,71
Gwion Edwards,65,65
Curtis Tilt,66,66
Jordan Cousins,66,67
Gavin Massey,63,63
Tom BaylissL,63,70
Thelo Aasgaard,62,73
Luke Robinson,58,72
Adam Long,58,66
Kieran Lloyd,56,68
Scott Smith,53,64
Charlie Wyke,68,68
