NAME,OVR,POT
Timon WellenreutherL,70,74
Leeroy Owusu,65,70
Freek Heerkens,68,68
Wessel DammersL,68,71
Derrick Köhn,65,73
Driess Saddiki,66,69
Pol Llonch,72,72
Max Svensson,66,73
Ché Nunnely,67,72
Mats Köhlert,67,73
Emil BergströmL,66,67
Kilian LudewigL,65,74
Jorn Brondeel,65,68
Elton Kabangu,65,70
Görkem Sağlam,66,72
Godfried RoemeratoeL,66,74
Argyris KampetsisL,66,74
Ulrik Yttergård Jenssen,65,68
Miquel Nelom,64,64
Wesley Spieringhs,64,74
Nikolaos MichelisL,63,75
Noah Lewis,61,67
Rick Ivanildo Fernandes,60,69
Connor Tejena,59,69
Vincent Schippers,58,68
Thijs Oosting,66,75
