NAME,OVR,POT
Krzysztof Kamiński,65,65
Aleksander Pawlak,62,71
Jakub Rzeźniczak,65,65
Steve Kapuadi,64,69
Anton Krivotsyuk,64,67
Dominik Furman,67,67
Kristián Vallo,65,68
Mateusz Szwoch,67,67
Rafał Wolski,70,70
Piotr Tomasik,65,65
Łukasz Sekulski,66,66
Damian Rasak,66,69
Dawid Kocyła,64,75
Filip Lesniak,63,67
Martin Šulek,61,67
Bartłomiej Gradecki,62,70
Damian Warchoł,64,65
Marko Kolar,63,64
Milan Kvocera,59,62
Tomasz Walczak,54,68
Adam Chrzanowski,61,71
Paweł ChrupałłaL,56,70
Mateusz Lewandowski,56,65
Miroslav Gono,58,67
Igor Drapiński,55,69
Radosław Cielemęcki,57,71
Oskar Lodziński,51,63
Adrian Szczutowski,58,69
