NAME,OVR,POT
Tomasz Kuszczak,70,70
Dominic Iorfa,62,76
Ethan Ebanks-Landell,64,70
Richard Stearman,71,71
Scott Golbourne,67,67
David Edwards,66,66
Kevin McDonald,69,72
Rajiv van La Parra,67,73
Bakary Sako,74,76
Benik Afobe,70,78
Nouha Dicko,68,76
James Henry,70,73
Lee Evans,63,75
Matt Doherty,65,70
Kortney Hause,60,75
Jonathan Flatt,54,65
Michael Jacobs,66,71
Jack Price,65,72
Carl Ikeme,70,70
Danny Batth,68,72
Tommy Rowe,64,66
Razak Boukari,65,65
Georg Margreitter,64,65
Aaron McCarey,62,66
Conor Hunte,56,69
George Saville,61,71
Zeli Ismail,60,68
Jordan Graham,58,74
Ibrahim Keita,50,71
George Swan,53,63
