NAME,OVR,POT
Liu Dianzuo,69,69
Deng Hanwen,69,69
Liu Yiming,65,68
Wallace,73,75
Ren Hang,68,68
Lü Haidong,62,62
Luo Senwen,63,63
Zhang Xiaobin,61,61
Nicolae Stanciu,79,79
Davidson,76,76
Marcão,76,76
Ademilson,71,71
Xie Pengfei,68,68
Deng Zhuoxiang,64,64
Yaki Aithamy Yen Tavio,65,65
Wu Fei,52,52
Gao Zhunyi,69,70
Yang Kuo,62,62
Shewketjan Tayir,50,59
Zhang Wentao,60,61
Yifei Sang,60,60
He Chao,64,65
Qu Cheng,53,53
Xiong Fei,55,55
Duan Yunzi,56,56
Zhang Hui,51,58
He Tongshuai,50,58
Haoyang Xu,58,63
