NAME,OVR,POT
Scott Shearer,61,62
Mike Williamson,59,62
David McCracken,63,65
Leon Johnson,61,63
Craig Woodman,61,64
Matthew Bloomfield,59,65
Gary Holt,62,73
Tommy Doherty,59,64
Lewwis Spence,60,68
Chris Zebroski,60,63
Scott McGleish,60,65
Leon Crooks,58,64
Will Antwi,60,62
Magno Vieira,58,64
Jamie Young,53,57
Nathan Ashton,60,70
Lewis Hunt,59,61
Derek Duncan,43,65
Lewis Christon,42,70
Robert Rice,45,66
John Mousinho,54,60
Gavin Grant,54,65
Simon Church,50,70
Matthew Phillips,42,69
Darrell Ellams,45,54
Scott Shulton,46,51
Edward Savage,46,51
Jamie Turley,51,56
Calum Botham,50,55
