NAME,OVR,POT
Alex McCarthy,55,60
Terrell Forbes,63,67
Steven Caulker,55,75
Stefan Stam,58,63
Nathan Smith,60,72
Danny Schofield,61,62
George O'Callaghan,57,65
Ryan Mason,58,65
Andy Welsh,60,65
Gavin Tomlin,58,63
Dean Bowditch,63,75
Nathan Jones,57,68
Scott Murray,61,70
Richard Martin,55,72
Kieran Murtagh,51,61
Jonathan Obika,64,73
Andy Lindegaard,53,57
Terry Skiverton,58,67
Darren Way,59,62
Ben Roberts,39,53
Sam Williams,58,77
Craig Alcock,52,57
Aidan Downes,57,69
Andre McCollin,52,58
Danny Hutchins,49,59
