NAME,OVR,POT
Hiroki Iikura,66,66
Ken Matsubara,66,71
Yuji Nakazawa,64,64
Dušan Cvetinović,70,70
Ryosuke Yamanaka,64,69
Takahiro Ogihara,63,66
Jun Amano,68,69
Keita Endo,66,76
Yun Il Lok,68,69
Yuki Otsu,66,66
Hugo Vieira,70,70
Takuya Kida,68,74
Kosuke Nakamachi,67,67
Thiago Martins,68,76
Yuzo Kurihara,54,54
Daichi Sugimoto,60,64
Sho Ito,62,62
Olivier Boumal,73,73
Ayaki Suzuki,52,52
Kota Yamada,51,65
Ippei Shinozuka,57,63
Teruhito Nakagawa,51,52
Masashi Wada,55,64
Gaku Harada,52,62
Kaina Yoshio,53,60
Takefusa KuboL,63,85
Jin Ikoma,55,66
Shinnosuke Hatanaka,63,69
Kenta Hori,54,65
Shuto Machino,54,65
