NAME,OVR,POT
Bogusław Wyparło,53,65
Dejan Ognjanovic,59,72
Georgas Freidgeimas,51,56
Zdzisław Leszczyński,55,62
Marcin Adamski,52,62
Gábor Vayer,53,68
Mladen Kašćelan,55,61
Dariusz Stachowiak,53,58
Mieczysław Sikora,54,63
Nazad Asaad,52,67
Adrian Świątek,52,72
Adam Czerkas,52,55
Paweł Drumlak,58,63
Adrian Woźniczka,49,58
Marcin Pająk,59,68
Adam Marciniak,55,65
Adam Cieśliński,51,60
Mariusz Mowlik,54,62
Robert Łakomy,50,52
Sebastian Przybyszewski,54,57
Jakub Biskup,52,55
Dawid Jarka,67,67
Saša Ivanović,50,67
Stefan Potocki,50,66
Wojciech Mordzakowski,49,58
Labinot Haliti,48,55
Rafał Kujawa,47,52
