NAME,OVR,POT
Rafał Gikiewicz,64,66
Krzysztof Ostrowski,57,57
Mariusz Pawelec,62,64
Adam Kokoszka,63,65
Rafał Grodzicki,64,66
Marcin Kowalczyk,60,64
Tadeusz Socha,63,67
Waldemar Sobota,69,74
Sebastian Mila,70,70
Piotr Ćwielong,63,66
Łukasz Gikiewicz,60,65
Marián Kelemen,65,65
Éric Mouloungui,70,70
Przemysław Kaźmierczak,68,68
Mateusz Cetnarski,63,67
Marek Wasiluk,61,62
Dalibor Stevanovič,64,65
Sylwester Patejuk,62,62
Kamil Juraszek,55,61
Robert Menzel,55,62
Rok Elsner,66,69
Stefan Vukovic,53,59
Amir Spahić,59,59
Jakub Więzik,49,60
Krzysztof Żukowski,55,59
Dariusz Góral,50,59
