team,pos,season
Universitario de Deportes,1,2023-23
Universidad César Vallejo,2,2023-23
Unión Comercio,3,2023-23
Sporting Cristal,4,2023-23
Sport Huancayo,5,2023-23
Sport Boys,6,2023-23
FBC Melgar,7,2023-23
Deportivo Municipal,8,2023-23
Club Deportivo Garcilaso,9,2023-23
Cusco FC,10,2023-23
Cienciano,11,2023-23
Carlos A. Mannucci,12,2023-23
CD UT Cajamarca,13,2023-23
Deportivo Binacional,14,2023-23
Club Atlético Grau,15,2023-23
Asociación Deportiva Tarma (ADT),16,2023-23
Alianza Lima,17,2023-23
Alianza Atlético,18,2023-23
Academia Cantolao,19,2023-23
Alianza Lima,1,2022-22
Sporting Cristal,2,2022-22
Club Atlético Grau,3,2022-22
Universitario de Deportes,4,2022-22
FBC Melgar,5,2022-22
Universidad César Vallejo,6,2022-22
CD UT Cajamarca,7,2022-22
Sport Huancayo,8,2022-22
Alianza Atlético,9,2022-22
Deportivo Binacional,10,2022-22
Cienciano,11,2022-22
Asociación Deportiva Tarma (ADT),12,2022-22
Sport Boys,13,2022-22
Deportivo Municipal,14,2022-22
Academia Cantolao,15,2022-22
Ayacucho FC,16,2022-22
Carlos A. Mannucci,17,2022-22
FC Carlos Stein,18,2022-22
Universidad San Martín de Porres,19,2022-22
FBC Melgar,1,2022-22
Sporting Cristal,2,2022-22
Sport Huancayo,3,2022-22
Alianza Lima,4,2022-22
Cienciano,5,2022-22
Deportivo Binacional,6,2022-22
Universidad César Vallejo,7,2022-22
Alianza Atlético,8,2022-22
Universitario de Deportes,9,2022-22
Deportivo Municipal,10,2022-22
CD UT Cajamarca,11,2022-22
Carlos A. Mannucci,12,2022-22
Club Atlético Grau,13,2022-22
Sport Boys,14,2022-22
Asociación Deportiva Tarma (ADT),15,2022-22
Academia Cantolao,16,2022-22
Universidad San Martín de Porres,17,2022-22
FC Carlos Stein,18,2022-22
Ayacucho FC,19,2022-22
Alianza Lima,1,2021-21
Sporting Cristal,2,2021-21
Universitario de Deportes,3,2021-21
FBC Melgar,4,2021-21
Sport Boys,5,2021-21
Cienciano,6,2021-21
Deportivo Municipal,7,2021-21
Universidad César Vallejo,8,2021-21
Carlos A. Mannucci,9,2021-21
Deportivo Binacional,10,2021-21
CD UT Cajamarca,11,2021-21
Ayacucho FC,12,2021-21
Sport Huancayo,13,2021-21
Academia Cantolao,14,2021-21
Cusco FC,15,2021-21
Alianza Atlético,16,2021-21
Alianza Universidad Huanuco,17,2021-21
Universidad San Martín de Porres,18,2021-21
Sporting Cristal,1,2021-21
Universidad San Martín de Porres,2,2021-21
Universidad César Vallejo,3,2021-21
Ayacucho FC,4,2021-21
Universitario de Deportes,5,2021-21
Cienciano,6,2021-21
Carlos A. Mannucci,7,2021-21
Sport Huancayo,8,2021-21
Alianza Atlético,9,2021-21
Sport Boys,10,2021-21
CD UT Cajamarca,11,2021-21
Alianza Universidad Huanuco,12,2021-21
Academia Cantolao,13,2021-21
FBC Melgar,14,2021-21
Cusco FC,15,2021-21
Deportivo Municipal,16,2021-21
Deportivo Binacional,17,2021-21
FC Carlos Stein,18,2021-21
Sporting Cristal,1,2020-20
Universitario de Deportes,2,2020-20
Universidad César Vallejo,3,2020-20
Ayacucho FC,4,2020-20
Carlos A. Mannucci,5,2020-20
Sport Huancayo,6,2020-20
CD UT Cajamarca,7,2020-20
FBC Melgar,8,2020-20
Cienciano,9,2020-20
Alianza Universidad Huanuco,10,2020-20
Universidad San Martín de Porres,11,2020-20
Cusco FC,12,2020-20
Deportivo Binacional,13,2020-20
Sport Boys,14,2020-20
Deportivo Municipal,15,2020-20
FC Carlos Stein,16,2020-20
Academia Cantolao,17,2020-20
Club Atlético Grau,18,2020-20
Alianza Lima,19,2020-20
Deportivo Llacuabamba,20,2020-20
Deportivo Binacional,1,2019-19
Sporting Cristal,2,2019-19
Alianza Lima,3,2019-19
Universitario de Deportes,4,2019-19
Sport Huancayo,5,2019-19
FBC Melgar,6,2019-19
Cusco FC,7,2019-19
Universidad César Vallejo,8,2019-19
Ayacucho FC,9,2019-19
Carlos A. Mannucci,10,2019-19
Deportivo Municipal,11,2019-19
Academia Cantolao,12,2019-19
Alianza Universidad Huanuco,13,2019-19
CD UT Cajamarca,14,2019-19
Universidad San Martín de Porres,15,2019-19
Sport Boys,16,2019-19
Unión Comercio,17,2019-19
Molinos El Pirata FC,18,2019-19
Sporting Cristal,1,2018-18
FBC Melgar,2,2018-18
Alianza Lima,3,2018-18
Cusco FC,4,2018-18
Deportivo Municipal,5,2018-18
Sport Huancayo,6,2018-18
CD UT Cajamarca,7,2018-18
Deportivo Binacional,8,2018-18
Universitario de Deportes,9,2018-18
Academia Cantolao,10,2018-18
Unión Comercio,11,2018-18
Universidad San Martín de Porres,12,2018-18
Sport Boys,13,2018-18
Ayacucho FC,14,2018-18
Sport Rosario (Huaraz),15,2018-18
Comerciantes Unidos,16,2018-18
Alianza Lima,1,2017-17
Cusco FC,2,2017-17
FBC Melgar,3,2017-17
Universitario de Deportes,4,2017-17
CD UT Cajamarca,5,2017-17
Sport Huancayo,6,2017-17
Sport Rosario (Huaraz),7,2017-17
Sporting Cristal,8,2017-17
Deportivo Municipal,9,2017-17
Comerciantes Unidos,10,2017-17
Universidad San Martín de Porres,11,2017-17
Academia Cantolao,12,2017-17
Ayacucho FC,13,2017-17
Unión Comercio,14,2017-17
Juan Aurich,15,2017-17
Alianza Atlético,16,2017-17
Universitario de Deportes,1,2016-16
FBC Melgar,2,2016-16
Sporting Cristal,3,2016-16
Deportivo Municipal,4,2016-16
Sport Huancayo,5,2016-16
Alianza Lima,6,2016-16
Juan Aurich,7,2016-16
Comerciantes Unidos,8,2016-16
Unión Comercio,9,2016-16
CD UT Cajamarca,10,2016-16
Cusco FC,11,2016-16
Alianza Atlético,12,2016-16
Ayacucho FC,13,2016-16
Universidad San Martín de Porres,14,2016-16
Universidad César Vallejo,15,2016-16
Defensor La Bocana,16,2016-16
Sporting Cristal,1,2015-15
FBC Melgar,2,2015-15
Cusco FC,3,2015-15
Universidad César Vallejo,4,2015-15
Sport Huancayo,5,2015-15
Deportivo Municipal,6,2015-15
Unión Comercio,7,2015-15
Alianza Lima,8,2015-15
Universitario de Deportes,9,2015-15
Juan Aurich,10,2015-15
Cienciano,11,2015-15
CD UT Cajamarca,12,2015-15
Universidad San Martín de Porres,13,2015-15
Alianza Atlético,14,2015-15
Ayacucho FC,15,2015-15
León de Huánuco,16,2015-15
Sport Loreto,17,2015-15
Alianza Lima,1,2014-14
FBC Melgar,2,2014-14
Sporting Cristal,3,2014-14
Unión Comercio,4,2014-14
Juan Aurich,5,2014-14
Universitario de Deportes,6,2014-14
León de Huánuco,7,2014-14
Universidad César Vallejo,8,2014-14
Ayacucho FC,9,2014-14
Cusco FC,10,2014-14
Cienciano,11,2014-14
Universidad San Martín de Porres,12,2014-14
CD UT Cajamarca,13,2014-14
Sport Huancayo,14,2014-14
Deportivo Los Caimanes,15,2014-14
San Simon,16,2014-14
Cusco FC,1,2013-13
Universitario de Deportes,2,2013-13
Sporting Cristal,3,2013-13
Universidad César Vallejo,4,2013-13
