team,pos,season
KRC Genk,1,2022-23
Union St.Gilloise,2,2022-23
Royal Antwerp FC,3,2022-23
Club Brugge,4,2022-23
Gent,5,2022-23
Westerlo,6,2022-23
Standard Liège,7,2022-23
Sint-Truiden,8,2022-23
Cercle Brugge,9,2022-23
RSC Anderlecht,10,2022-23
Oud-Heverlee Leuven,11,2022-23
Sporting Charleroi,12,2022-23
KV Mechelen,13,2022-23
Eupen,14,2022-23
Kortrijk,15,2022-23
Zulte Waregem,16,2022-23
R.F.C. Seraing,17,2022-23
KV Oostende,18,2022-23
Royal Excel Mouscron Péruwelz,19,2022-23
Waasland-Beveren,20,2022-23
Germinal Beerschot,21,2022-23
Club Brugge,1,2021-22
Union St.Gilloise,2,2021-22
Gent,3,2021-22
RSC Anderlecht,4,2021-22
Royal Antwerp FC,5,2021-22
KRC Genk,6,2021-22
Sporting Charleroi,7,2021-22
KV Mechelen,8,2021-22
Sint-Truiden,9,2021-22
Cercle Brugge,10,2021-22
Oud-Heverlee Leuven,11,2021-22
Kortrijk,12,2021-22
KV Oostende,13,2021-22
Standard Liège,14,2021-22
Eupen,15,2021-22
Zulte Waregem,16,2021-22
Germinal Beerschot,17,2021-22
R.F.C. Seraing,18,2021-22
Club Brugge,1,2020-21
KRC Genk,2,2020-21
Royal Antwerp FC,3,2020-21
Gent,4,2020-21
RSC Anderlecht,5,2020-21
KV Oostende,6,2020-21
KV Mechelen,7,2020-21
Standard Liège,8,2020-21
Germinal Beerschot,9,2020-21
Zulte Waregem,10,2020-21
Oud-Heverlee Leuven,11,2020-21
Eupen,12,2020-21
Sporting Charleroi,13,2020-21
Kortrijk,14,2020-21
Sint-Truiden,15,2020-21
Cercle Brugge,16,2020-21
Royal Excel Mouscron Péruwelz,17,2020-21
Waasland-Beveren,18,2020-21
Club Brugge,1,2019-20
Gent,2,2019-20
Sporting Charleroi,3,2019-20
Royal Antwerp FC,4,2019-20
Standard Liège,5,2019-20
KV Mechelen,6,2019-20
KRC Genk,7,2019-20
RSC Anderlecht,8,2019-20
Zulte Waregem,9,2019-20
Kortrijk,10,2019-20
Sint-Truiden,11,2019-20
Eupen,12,2019-20
Cercle Brugge,13,2019-20
KV Oostende,14,2019-20
Waasland-Beveren,15,2019-20
Mouscron-Péruwelz,16,2019-20
KRC Genk,1,2018-19
Club Brugge,2,2018-19
Standard Liège,3,2018-19
Royal Antwerp FC,4,2018-19
Gent,5,2018-19
RSC Anderlecht,6,2018-19
Sint-Truiden,7,2018-19
Kortrijk,8,2018-19
Royal Excel Mouscron Péruwelz,9,2018-19
Sporting Charleroi,10,2018-19
Zulte Waregem,11,2018-19
Eupen,12,2018-19
Cercle Brugge,13,2018-19
Waasland-Beveren,14,2018-19
KV Oostende,15,2018-19
Lokeren,16,2018-19
Club Brugge,1,2017-18
RSC Anderlecht,2,2017-18
Standard Liège,3,2017-18
Gent,4,2017-18
KRC Genk,5,2017-18
Sporting Charleroi,6,2017-18
Kortrijk,7,2017-18
Royal Antwerp FC,8,2017-18
Zulte Waregem,9,2017-18
Sint-Truiden,10,2017-18
KV Oostende,11,2017-18
Waasland-Beveren,12,2017-18
Lokeren,13,2017-18
Royal Excel Mouscron Péruwelz,14,2017-18
Eupen,15,2017-18
KV Mechelen,16,2017-18
RSC Anderlecht,1,2016-17
Club Brugge,2,2016-17
KRC Genk,3,2016-17
KV Mechelen,4,2016-17
Gent,5,2016-17
KV Oostende,6,2016-17
Sporting Charleroi,7,2016-17
Zulte Waregem,8,2016-17
Standard Liège,9,2016-17
Sint-Truiden,10,2016-17
Waasland-Beveren,11,2016-17
Lokeren,12,2016-17
Eupen,13,2016-17
Kortrijk,14,2016-17
Royal Excel Mouscron Péruwelz,15,2016-17
Westerlo,16,2016-17
Club Brugge,1,2015-16
RSC Anderlecht,2,2015-16
Gent,3,2015-16
KRC Genk,4,2015-16
KV Oostende,5,2015-16
Sporting Charleroi,6,2015-16
Kortrijk,7,2015-16
Standard Liège,8,2015-16
Zulte Waregem,9,2015-16
Lokeren,10,2015-16
KV Mechelen,11,2015-16
Waasland-Beveren,12,2015-16
Mouscron-Péruwelz,13,2015-16
Sint-Truiden,14,2015-16
Westerlo,15,2015-16
Oud-Heverlee Leuven,16,2015-16
RSC Anderlecht,1,2014-15
Westerlo,2,2014-15
Waasland-Beveren,3,2014-15
Standard Liège,4,2014-15
Sporting Charleroi,5,2014-15
KV Oostende,6,2014-15
Mouscron-Péruwelz,7,2014-15
Lokeren,8,2014-15
Lierse,9,2014-15
KV Mechelen,10,2014-15
Kortrijk,11,2014-15
Gent,12,2014-15
KRC Genk,13,2014-15
Club Brugge,14,2014-15
Cercle Brugge,15,2014-15
Zulte Waregem,16,2014-15
Standard Liège,1,2013-14
RSC Anderlecht,2,2013-14
Club Brugge,3,2013-14
Zulte Waregem,4,2013-14
Lokeren,5,2013-14
Kortrijk,6,2013-14
Gent,7,2013-14
KRC Genk,8,2013-14
KV Oostende,9,2013-14
Sporting Charleroi,10,2013-14
KV Mechelen,11,2013-14
Lierse,12,2013-14
Waasland-Beveren,13,2013-14
Oud-Heverlee Leuven,14,2013-14
Cercle Brugge,15,2013-14
Mons,16,2013-14
RSC Anderlecht,1,2012-13
Zulte Waregem,2,2012-13
Club Brugge,3,2012-13
Standard Liège,4,2012-13
KRC Genk,5,2012-13
Gent,6,2012-13
Lokeren,7,2012-13
Mons,8,2012-13
KV Mechelen,9,2012-13
Oud-Heverlee Leuven,10,2012-13
Kortrijk,11,2012-13
Sporting Charleroi,12,2012-13
Waasland-Beveren,13,2012-13
Lierse,14,2012-13
Germinal Beerschot,15,2012-13
Cercle Brugge,16,2012-13
RSC Anderlecht,1,2011-12
Club Brugge,2,2011-12
Gent,3,2011-12
KRC Genk,4,2011-12
Cercle Brugge,5,2011-12
Standard Liège,6,2011-12
Kortrijk,7,2011-12
Lokeren,8,2011-12
Mons,9,2011-12
Germinal Beerschot,10,2011-12
KV Mechelen,11,2011-12
Oud-Heverlee Leuven,12,2011-12
Zulte Waregem,13,2011-12
Lierse,14,2011-12
Westerlo,15,2011-12
Sint-Truiden,16,2011-12
RSC Anderlecht,1,2010-11
KRC Genk,2,2010-11
Gent,3,2010-11
KV Mechelen,4,2010-11
Club Brugge,5,2010-11
Lokeren,6,2010-11
Standard Liège,7,2010-11
Cercle Brugge,8,2010-11
Westerlo,9,2010-11
Kortrijk,10,2010-11
Zulte Waregem,11,2010-11
Sint-Truiden,12,2010-11
Germinal Beerschot,13,2010-11
