team,pos,season
Galatasaray,1,2022-23
Fenerbahçe,2,2022-23
İstanbul Başakşehir,3,2022-23
Beşiktaş,4,2022-23
Adana Demirspor,5,2022-23
Trabzonspor,6,2022-23
Kayserispor,7,2022-23
Konyaspor,8,2022-23
Fatih Karagümrük,9,2022-23
Gazişehir Gaziantep FK,10,2022-23
Alanyaspor,11,2022-23
Sivasspor,12,2022-23
MP Antalyaspor,13,2022-23
Hatayspor Kulübü,14,2022-23
Ankaragücü,15,2022-23
Kasımpaşa,16,2022-23
Giresunspor,17,2022-23
İstanbulspor,18,2022-23
Ümraniyespor,19,2022-23
Trabzonspor,1,2021-22
Fenerbahçe,2,2021-22
Konyaspor,3,2021-22
İstanbul Başakşehir,4,2021-22
Alanyaspor,5,2021-22
Beşiktaş,6,2021-22
MP Antalyaspor,7,2021-22
Sivasspor,8,2021-22
Kasımpaşa,9,2021-22
Galatasaray,10,2021-22
Kayserispor,11,2021-22
Rizespor,12,2021-22
Fatih Karagümrük,13,2021-22
Göztepe AŞ,14,2021-22
Adana Demirspor,15,2021-22
Giresunspor,16,2021-22
Hatayspor Kulübü,17,2021-22
Yeni Malatyaspor,18,2021-22
Gazişehir Gaziantep FK,19,2021-22
Altay S.K.,20,2021-22
Beşiktaş,1,2020-21
Galatasaray,2,2020-21
Fenerbahçe,3,2020-21
Trabzonspor,4,2020-21
Sivasspor,5,2020-21
Hatayspor Kulübü,6,2020-21
Alanyaspor,7,2020-21
Fatih Karagümrük,8,2020-21
Gazişehir Gaziantep FK,9,2020-21
Göztepe AŞ,10,2020-21
Konyaspor,11,2020-21
İstanbul Başakşehir,12,2020-21
Rizespor,13,2020-21
Kasımpaşa,14,2020-21
Yeni Malatyaspor,15,2020-21
MP Antalyaspor,16,2020-21
Kayserispor,17,2020-21
Erzurum BB,18,2020-21
Ankaragücü,19,2020-21
Gençlerbirligi,20,2020-21
Denizlispor,21,2020-21
İstanbul Başakşehir,1,2019-20
Trabzonspor,2,2019-20
Beşiktaş,3,2019-20
Sivasspor,4,2019-20
Alanyaspor,5,2019-20
Galatasaray,6,2019-20
Fenerbahçe,7,2019-20
Gazişehir Gaziantep FK,8,2019-20
Kasımpaşa,9,2019-20
Göztepe AŞ,10,2019-20
MP Antalyaspor,11,2019-20
Konyaspor,12,2019-20
Gençlerbirligi,13,2019-20
Rizespor,14,2019-20
Denizlispor,15,2019-20
Yeni Malatyaspor,16,2019-20
Ankaragücü,17,2019-20
Kayserispor,18,2019-20
Galatasaray,1,2018-19
İstanbul Başakşehir,2,2018-19
Beşiktaş,3,2018-19
Trabzonspor,4,2018-19
Yeni Malatyaspor,5,2018-19
Fenerbahçe,6,2018-19
MP Antalyaspor,7,2018-19
Konyaspor,8,2018-19
Rizespor,9,2018-19
Alanyaspor,10,2018-19
Sivasspor,11,2018-19
Ankaragücü,12,2018-19
Kasımpaşa,13,2018-19
Göztepe AŞ,14,2018-19
Kayserispor,15,2018-19
Bursaspor,16,2018-19
Erzurum BB,17,2018-19
Akhisar Belediye,18,2018-19
Galatasaray,1,2017-18
Fenerbahçe,2,2017-18
İstanbul Başakşehir,3,2017-18
Beşiktaş,4,2017-18
Trabzonspor,5,2017-18
Göztepe AŞ,6,2017-18
Sivasspor,7,2017-18
Kasımpaşa,8,2017-18
Kayserispor,9,2017-18
Yeni Malatyaspor,10,2017-18
Akhisar Belediye,11,2017-18
Alanyaspor,12,2017-18
Bursaspor,13,2017-18
MP Antalyaspor,14,2017-18
Konyaspor,15,2017-18
Osmanlıspor FK,16,2017-18
Gençlerbirligi,17,2017-18
Karabükspor,18,2017-18
Beşiktaş,1,2016-17
İstanbul Başakşehir,2,2016-17
Fenerbahçe,3,2016-17
Galatasaray,4,2016-17
MP Antalyaspor,5,2016-17
Trabzonspor,6,2016-17
Akhisar Belediye,7,2016-17
Gençlerbirligi,8,2016-17
Kasımpaşa,9,2016-17
Konyaspor,10,2016-17
Karabükspor,11,2016-17
Alanyaspor,12,2016-17
Osmanlıspor FK,13,2016-17
Kayserispor,14,2016-17
Bursaspor,15,2016-17
Rizespor,16,2016-17
Gaziantepspor,17,2016-17
Adanaspor,18,2016-17
Beşiktaş,1,2015-16
Fenerbahçe,2,2015-16
Konyaspor,3,2015-16
İstanbul Başakşehir,4,2015-16
Osmanlıspor FK,5,2015-16
Galatasaray,6,2015-16
Kasımpaşa,7,2015-16
Akhisar Belediye,8,2015-16
MP Antalyaspor,9,2015-16
Gençlerbirligi,10,2015-16
Bursaspor,11,2015-16
Trabzonspor,12,2015-16
Rizespor,13,2015-16
Gaziantepspor,14,2015-16
Kayserispor,15,2015-16
Sivasspor,16,2015-16
Eskişehirspor,17,2015-16
Mersin İdmanyurdu,18,2015-16
Galatasaray,1,2014-15
Mersin İdmanyurdu,2,2014-15
Sivasspor,3,2014-15
Konyaspor,4,2014-15
Balıkesirspor,5,2014-15
Karabükspor,6,2014-15
Trabzonspor,7,2014-15
Kayseri Erciyesspor,8,2014-15
Rizespor,9,2014-15
Kasımpaşa,10,2014-15
İstanbul Başakşehir,11,2014-15
Gençlerbirligi,12,2014-15
Beşiktaş,13,2014-15
Gaziantepspor,14,2014-15
Eskişehirspor,15,2014-15
Akhisar Belediye,16,2014-15
Fenerbahçe,17,2014-15
Bursaspor,18,2014-15
Fenerbahçe,1,2013-14
Galatasaray,2,2013-14
Beşiktaş,3,2013-14
Kasımpaşa,4,2013-14
Trabzonspor,5,2013-14
Sivasspor,6,2013-14
Karabükspor,7,2013-14
Bursaspor,8,2013-14
Gençlerbirligi,9,2013-14
Akhisar Belediye,10,2013-14
Konyaspor,11,2013-14
Rizespor,12,2013-14
Eskişehirspor,13,2013-14
Kayseri Erciyesspor,14,2013-14
Gaziantepspor,15,2013-14
Elazığspor,16,2013-14
MP Antalyaspor,17,2013-14
Kayserispor,18,2013-14
Galatasaray,1,2012-13
Fenerbahçe,2,2012-13
Beşiktaş,3,2012-13
Bursaspor,4,2012-13
Kayserispor,5,2012-13
Kasımpaşa,6,2012-13
MP Antalyaspor,7,2012-13
Eskişehirspor,8,2012-13
Trabzonspor,9,2012-13
Gaziantepspor,10,2012-13
Gençlerbirligi,11,2012-13
Sivasspor,12,2012-13
Elazığspor,13,2012-13
Akhisar Belediye,14,2012-13
Karabükspor,15,2012-13
İstanbul Başakşehir,16,2012-13
Orduspor,17,2012-13
Mersin İdmanyurdu,18,2012-13
Galatasaray,1,2011-12
Fenerbahçe,2,2011-12
Bursaspor,3,2011-12
Eskişehirspor,4,2011-12
Trabzonspor,5,2011-12
Beşiktaş,6,2011-12
İstanbul Başakşehir,7,2011-12
Sivasspor,8,2011-12
Gençlerbirligi,9,2011-12
Gaziantepspor,10,2011-12
Kayserispor,11,2011-12
Karabükspor,12,2011-12
Orduspor,13,2011-12
Mersin İdmanyurdu,14,2011-12
MP Antalyaspor,15,2011-12
Samsunspor,16,2011-12
Manisaspor,17,2011-12
Ankaragücü,18,2011-12
Fenerbahçe,1,2010-11
Trabzonspor,2,2010-11
Bursaspor,3,2010-11
Gaziantepspor,4,2010-11
Beşiktaş,5,2010-11
Kayserispor,6,2010-11
Eskişehirspor,7,2010-11
Galatasaray,8,2010-11
Karabükspor,9,2010-11
Manisaspor,10,2010-11
İstanbul Başakşehir,11,2010-11
MP Antalyaspor,12,2010-11
Ankaragücü,13,2010-11
Gençlerbirligi,14,2010-11
Sivasspor,15,2010-11
Bucaspor,16,2010-11
Konyaspor,17,2010-11
Kasımpaşa,18,2010-11
Bursaspor,1,2009-10
Fenerbahçe,2,2009-10
Galatasaray,3,2009-10
Beşiktaş,4,2009-10
Trabzonspor,5,2009-10
İstanbul Başakşehir,6,2009-10
Eskişehirspor,7,2009-10
Kayserispor,8,2009-10
MP Antalyaspor,9,2009-10
Gençlerbirligi,10,2009-10
Ankaragücü,11,2009-10
Kasımpaşa,12,2009-10
Gaziantepspor,13,2009-10
Manisaspor,14,2009-10
Sivasspor,15,2009-10
Diyarbakirspor,16,2009-10
Denizlispor,17,2009-10
Osmanlıspor FK,18,2009-10
